original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"Đường 10,Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,Quan 7,Ho Chi Minh,HC,Vietnam,vn,,0.11200000000000002,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường D2, Phường Tăng Nhơn Phú A,Phường Tăng Nhơn Phú A,Quận 9,TP. Hồ Chí Minh",10.853349597137257,106.79311168303728,"Đường D2, Khu phố 15, Ho Chi Minh City, 71300, Vietnam",Đường D2,,Đường D2,71300,,Khu phố 15,Ho Chi Minh City,Phường Tăng Nhơn Phú,,,Vietnam,vn,,0.12502349999999998,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Quốc Lộ 13 Cũ - Quận Thủ Đức (Cũ),Phường Hiệp Bình Phước,Thành phố Thủ Đức,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,
"Đường Số 17B, Khu Dân Cư An Lạc - Bình Trị Đông (Phường An Lạc A, Phường Bình Trị Đông B),Phường Bình Trị Đông B,Quận Bình Tân,TP. Hồ Chí Minh",10.819623,106.607344,"Đường số 17B, HC, Vietnam",,,Đường số 17B,,,,,Binh Tan,Ho Chi Minh,HC,Vietnam,vn,,0.0597530864197531,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 53, Phường Tân Tạo,Phường Tân Tạo A,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",Binh Tan,,,,,,,Binh Tan,Ho Chi Minh,HC,Vietnam,vn,,0.0964650283553875,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thạnh Lộc 43,Phường Thạnh Lộc,Quận 12,TP. Hồ Chí Minh",10.43943,105.623504,"43, Quản Bạch, DT, Vietnam",,43,Quản Bạch,,,,,TP Cao Lanh,Dong Thap,DT,Vietnam,vn,0,0.01875,0.3333333333333333,0.041666666666666664,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường An Dương Vương,Phường 16,Quận 8,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 10,Phường Tân Kiểng,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,Quan 7,Ho Chi Minh,HC,Vietnam,vn,,0.0984375,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bà Điểm 3,Xã Xuân Thới Thượng,Huyện Hóc Môn,TP. Hồ Chí Minh",10.83775,106.604233,"3, Đường Bà Điểm 10B, HC, Vietnam",,3,Đường Bà Điểm 10B,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0,0.09999999999999999,0.2222222222222222,0.19999999999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Cao Triều Phát (R.2102),Phường Tân Phong,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",Quan 7,,,,,,,Quan 7,Ho Chi Minh,HC,Vietnam,vn,,0.05206611570247933,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Quốc Lộ 22,Xã Tân Thới Nhì,Huyện Hóc Môn,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Thị Đành,Xã Xuân Thới Sơn,Huyện Hóc Môn,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Thị Rành,Xã An Nhơn Tây,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 50, Phường Tân Tạo,Phường Tân Tạo,Quận Bình Tân,TP. Hồ Chí Minh",10.752719,106.589787,"Binh Tan, Vietnam",Binh Tan,,,,,,,Binh Tan,Ho Chi Minh,HC,Vietnam,vn,,0.10231009133437294,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Xã Phú Giáo,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
